id,claimDate,insuredPerson,cardNumber,examDate,documents,claimAmount,status,receiverBank,receiverBankName,receiverBankNumber
f1234567890,2023-01-15,John Doe,1234567890,2023-01-20,"claim1.pdf",1000.00,New,ABC Bank,John Doe,123456789
f2345678901,2023-02-20,Jane Smith,2345678901,2023-02-25,"claim3.pdf",1500.00,Processing,XYZ Bank,Jane Smith,234567890
f3456789012,2023-03-10,Alice Johnson,3456789012,2023-03-15,"claim5.pdf",2000.00,Done,PQR Bank,Alice Johnson,345678901
f4567890123,2023-04-05,Bob Brown,4567890123,2023-04-10,"claim7.pdf",1200.00,New,DEF Bank,Bob Brown,456789012
f5678901234,2023-05-20,Emily Davis,5678901234,2023-05-25,"claim9.pdf",1800.00,Processing,GHI Bank,Emily Davis,567890123
f6789012345,2023-06-15,Michael Wilson,6789012345,2023-06-20,"claim11.pdf",2200.00,New,JKL Bank,Michael Wilson,678901234
f7890123456,2023-07-10,Susan Lee,7890123456,2023-07-15,"claim13.pdf",1700.00,Processing,MNO Bank,Susan Lee,789012345
f8901234567,2023-08-25,David Clark,8901234567,2023-08-30,"claim15.pdf",1900.00,Done,STU Bank,David Clark,890123456
f9012345678,2023-09-20,Lisa Taylor,9012345678,2023-09-25,"claim17.pdf",2100.00,New,VWX Bank,Lisa Taylor,901234567
f0123456789,2023-10-05,James Martinez,0123456789,2023-10-10,"claim19.pdf",1300.00,Processing,YZA Bank,James Martinez,012345678
f1234567890,2023-11-20,Sarah Thompson,1234567890,2023-11-25,"claim21.pdf",1600.00,Done,BCD Bank,Sarah Thompson,123456789
f2345678901,2023-12-15,Christopher Garcia,2345678901,2023-12-20,"claim23.pdf",1400.00,New,CDE Bank,Christopher Garcia,234567890
f3456789012,2024-01-10,Kimberly Martinez,3456789012,2024-01-15,"claim25.pdf",2300.00,Processing,EFG Bank,Kimberly Martinez,345678901
f4567890123,2024-02-05,Matthew Rodriguez,4567890123,2024-02-10,"claim27.pdf",2000.00,Done,FGH Bank,Matthew Rodriguez,456789012
f5678901234,2024-03-20,Amanda Wilson,5678901234,2024-03-25,"claim29.pdf",2500.00,New,GHI Bank,Amanda Wilson,567890123
