id,fullName,insuranceCardId,claims
c1234567,John Doe,1234567890,"1,2,3"
c2345678,Jane Smith,2345678901,"4,5,6"
c3456789,Alice Johnson,3456789012,"7,8,9"
c4567890,Bob Brown,4567890123,"10,11,12"
c5678901,Emily Davis,5678901234,"13,14,15"
c6789012,Michael Wilson,6789012345,"16,17,18"
c7890123,Susan Lee,7890123456,"19,20,21"
c8901234,David Clark,8901234567,"22,23,24"
c9012345,Lisa Taylor,9012345678,"25,26,27"
c0123456,James Martinez,0123456789,"28,29,30"
c1234567,Sarah Thompson,1234567890,"31,32,33"
c2345678,Christopher Garcia,2345678901,"34,35,36"
c3456789,Kimberly Martinez,3456789012,"37,38,39"
c4567890,Matthew Rodriguez,4567890123,"40,41,42"
c5678901,Amanda Wilson,5678901234,"43,44,45"
