cardNumber,cardHolder,policyOwner,expirationDate
1234567890,John Doe,John Doe,2025-05-01
2345678901,Jane Smith,Jane Smith,2024-12-31
3456789012,Alice Johnson,Alice Johnson,2023-09-15
4567890123,Bob Brown,Bob Brown,2024-03-20
5678901234,Emily Davis,Emily Davis,2025-08-10
6789012345,Michael Wilson,Michael Wilson,2026-01-15
7890123456,Susan Lee,Susan Lee,2023-11-30
8901234567,David Clark,David Clark,2024-07-25
9012345678,Lisa Taylor,Lisa Taylor,2025-04-05
0123456789,James Martinez,James Martinez,2026-02-20
1234567890,Sarah Thompson,Sarah Thompson,2023-10-10
2345678901,Christopher Garcia,Christopher Garcia,2024-09-05
3456789012,Kimberly Martinez,Kimberly Martinez,2025-06-15
4567890123,Matthew Rodriguez,Matthew Rodriguez,2024-12-01
5678901234,Amanda Wilson,Amanda Wilson,2023-07-20
